epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,24200.8,1.16942,0.57977,1.07336,0.78034,0.85021,0.87463,0.549,0.77676,0.50224,0.94819,0.0051985,0.0051985,0.0051985
99,24449.9,1.15765,0.57839,1.06717,0.79022,0.85261,0.88084,0.55093,0.77516,0.49848,0.94727,0.005149,0.005149,0.005149
100,24694.4,1.15468,0.58036,1.06774,0.78884,0.83911,0.87802,0.55052,0.77355,0.49657,0.94636,0.0050995,0.0050995,0.0050995
101,24941.5,1.16108,0.57501,1.06466,0.78016,0.84354,0.87362,0.5497,0.77186,0.49727,0.94555,0.00505,0.00505,0.00505
102,25187.8,1.15684,0.58097,1.06981,0.78464,0.83697,0.87173,0.54903,0.77282,0.49825,0.94572,0.0050005,0.0050005,0.0050005
103,25434.3,1.15284,0.56928,1.06371,0.78544,0.83842,0.87228,0.55048,0.77241,0.49914,0.94578,0.004951,0.004951,0.004951
104,25677.3,1.14418,0.5761,1.06725,0.78284,0.83375,0.87226,0.55016,0.77154,0.49618,0.94532,0.0049015,0.0049015,0.0049015
105,25926.2,1.1599,0.58076,1.07093,0.7914,0.82826,0.87069,0.54983,0.77022,0.4957,0.94504,0.004852,0.004852,0.004852
106,26170.5,1.16187,0.56962,1.06684,0.79128,0.83952,0.87319,0.55024,0.76977,0.4929,0.94518,0.0048025,0.0048025,0.0048025
107,26416.8,1.15877,0.57142,1.06498,0.79287,0.84053,0.8735,0.55137,0.76911,0.49289,0.94527,0.004753,0.004753,0.004753
108,26665.4,1.14794,0.57204,1.06899,0.79503,0.8342,0.87168,0.54904,0.7695,0.49322,0.94561,0.0047035,0.0047035,0.0047035
109,26909.8,1.14697,0.56931,1.06397,0.80383,0.82977,0.87206,0.54889,0.7699,0.49379,0.94582,0.004654,0.004654,0.004654
110,27156.3,1.14392,0.57044,1.05876,0.79995,0.83553,0.87358,0.54921,0.76951,0.49539,0.94543,0.0046045,0.0046045,0.0046045
111,27407,1.15275,0.57441,1.06581,0.79811,0.83923,0.87482,0.55002,0.77073,0.49556,0.94544,0.004555,0.004555,0.004555
112,27650.6,1.1396,0.57779,1.06466,0.80503,0.83583,0.87304,0.5498,0.77072,0.49512,0.94521,0.0045055,0.0045055,0.0045055
113,27898.4,1.14486,0.5708,1.05987,0.80777,0.83225,0.87335,0.54952,0.76993,0.49535,0.94452,0.004456,0.004456,0.004456
114,28146,1.1477,0.56877,1.0638,0.80255,0.83419,0.87329,0.55021,0.76903,0.49465,0.94488,0.0044065,0.0044065,0.0044065
115,28392.9,1.13717,0.57282,1.06486,0.80464,0.83149,0.87012,0.54983,0.76878,0.4938,0.94492,0.004357,0.004357,0.004357
116,28637.8,1.13944,0.56682,1.06024,0.8119,0.82853,0.87232,0.5505,0.76861,0.49349,0.9447,0.0043075,0.0043075,0.0043075
117,28884.2,1.13327,0.57364,1.06502,0.80892,0.82673,0.87019,0.55036,0.76828,0.49468,0.94498,0.004258,0.004258,0.004258
118,29132,1.14024,0.56887,1.0604,0.80775,0.82798,0.87025,0.54996,0.768,0.49425,0.94501,0.0042085,0.0042085,0.0042085
119,29377.9,1.13777,0.5634,1.06124,0.80308,0.8286,0.87011,0.54913,0.76834,0.4954,0.94525,0.004159,0.004159,0.004159
120,29622.7,1.12715,0.56223,1.06095,0.80152,0.82786,0.86747,0.54798,0.76803,0.49443,0.94526,0.0041095,0.0041095,0.0041095
121,29869.9,1.14008,0.56877,1.05956,0.80045,0.83429,0.86979,0.54838,0.76805,0.49451,0.945,0.00406,0.00406,0.00406
122,30115.4,1.11787,0.549,1.05326,0.80673,0.83294,0.87003,0.5485,0.76772,0.4947,0.9447,0.0040105,0.0040105,0.0040105
123,30362.1,1.13487,0.57274,1.06517,0.81308,0.83201,0.87149,0.54915,0.76761,0.49302,0.94437,0.003961,0.003961,0.003961
124,30608.8,1.12856,0.56244,1.05753,0.81688,0.83042,0.87169,0.54934,0.76709,0.49265,0.94431,0.0039115,0.0039115,0.0039115
125,30852.4,1.1352,0.56233,1.06094,0.81678,0.8318,0.87274,0.54946,0.76698,0.49208,0.94427,0.003862,0.003862,0.003862
126,31099.3,1.1213,0.55931,1.04996,0.81951,0.82888,0.87291,0.5493,0.76668,0.49227,0.94411,0.0038125,0.0038125,0.0038125
127,31343.8,1.12066,0.56239,1.05415,0.81913,0.83243,0.87272,0.54974,0.76629,0.4919,0.94388,0.003763,0.003763,0.003763
128,31590,1.1194,0.55523,1.05592,0.82502,0.8319,0.87368,0.55112,0.76619,0.4919,0.94391,0.0037135,0.0037135,0.0037135
129,31841,1.12532,0.56067,1.05491,0.82664,0.83034,0.87234,0.55062,0.76612,0.49262,0.94403,0.003664,0.003664,0.003664
